#tid,algorithm,succeed,complete_time,seed,value_size,d,estimated_d
0,DDigest,1,1526274.709,2614455935,60,10,16
0,PinSketch,1,1268706.277,2614455935,60,10,16
0,PBS,1,1105694.975,2614455935,60,10,16
1,DDigest,1,1462312.616,2223992100,60,10,16
1,PinSketch,1,1319064.084,2223992100,60,10,16
1,PBS,1,1092111.817,2223992100,60,10,16
2,DDigest,1,1594246.625,4217253813,60,10,14
2,PinSketch,1,1254145.718,4217253813,60,10,14
2,PBS,1,1105121.94,4217253813,60,10,14
3,DDigest,1,1508491.846,1063094462,60,10,15
3,PinSketch,1,1336740.88,1063094462,60,10,15
3,PBS,1,1159750.128,1063094462,60,10,15
4,DDigest,1,1429484.878,3612915116,60,10,14
4,PinSketch,1,1238395.239,3612915116,60,10,14
4,PBS,1,1097459.227,3612915116,60,10,14
5,DDigest,1,1564382.13,1061150237,60,10,15
5,PinSketch,1,1311261.955,1061150237,60,10,15
5,PBS,1,1200336.519,1061150237,60,10,15
6,DDigest,1,1475320.151,1655777442,60,10,12
6,PinSketch,1,1223789.428,1655777442,60,10,12
6,PBS,1,1117970.097,1655777442,60,10,12
7,DDigest,1,1559179.141,3537882741,60,10,12
7,PinSketch,1,1368137.699,3537882741,60,10,12
7,PBS,1,1145862.813,3537882741,60,10,12
8,DDigest,1,1437391.104,3887478591,60,10,16
8,PinSketch,1,1344017.267,3887478591,60,10,16
8,PBS,1,1152746.571,3887478591,60,10,16
9,DDigest,1,1564659.974,3555333526,60,10,14
9,PinSketch,1,1274358.204,3555333526,60,10,14
9,PBS,1,1144865.965,3555333526,60,10,14
10,DDigest,1,1471874.183,2346006061,60,10,15
10,PinSketch,1,1279939.277,2346006061,60,10,15
10,PBS,1,1146701.371,2346006061,60,10,15
11,DDigest,1,1484062.73,3004538427,60,10,13
11,PinSketch,1,1289023.343,3004538427,60,10,13
11,PBS,1,1205476.623,3004538427,60,10,13
12,DDigest,1,1533224.918,193896213,60,10,14
12,PinSketch,1,1302009.483,193896213,60,10,14
12,PBS,1,1147855.924,193896213,60,10,14
13,DDigest,1,1563814.665,4056500539,60,10,17
13,PinSketch,1,1414568.187,4056500539,60,10,17
13,PBS,1,1131984.038,4056500539,60,10,17
14,DDigest,1,1540089.273,2137641007,60,10,20
14,PinSketch,1,1368786.683,2137641007,60,10,20
14,PBS,1,1128003.585,2137641007,60,10,20
15,DDigest,1,1470067.051,1599519745,60,10,18
15,PinSketch,1,1327069.095,1599519745,60,10,18
15,PBS,1,1144228.347,1599519745,60,10,18
16,DDigest,1,1632694.976,1887119040,60,10,14
16,PinSketch,1,1274832.406,1887119040,60,10,14
16,PBS,1,1141525.197,1887119040,60,10,14
17,DDigest,1,1484575.7,160760229,60,10,14
17,PinSketch,1,1292510.597,160760229,60,10,14
17,PBS,1,1203745.695,160760229,60,10,14
18,DDigest,1,1651345.027,313067961,60,10,16
18,PinSketch,1,1308713.968,313067961,60,10,16
18,PBS,1,1283645.86,313067961,60,10,16
19,DDigest,1,1522133.829,826920367,60,10,14
19,PinSketch,1,1408661.045,826920367,60,10,14
19,PBS,1,1140797.377,826920367,60,10,14
