#tid,algorithm,succeed,complete_time,seed,value_size,d,estimated_d
0,DDigest,1,1536859.349,2614455935,60,100,145
0,PinSketch,1,2347655.565,2614455935,60,100,145
0,PBS,1,1165853.737,2614455935,60,100,145
1,DDigest,1,1523100.161,2223992100,60,100,161
1,PinSketch,1,2473049.688,2223992100,60,100,161
1,PBS,1,1162963.812,2223992100,60,100,161
2,DDigest,1,1480505.305,4217253813,60,100,150
2,PinSketch,1,2433700.329,4217253813,60,100,150
2,PBS,1,1168466.03,4217253813,60,100,150
3,DDigest,1,1506653.808,1063094462,60,100,125
3,PinSketch,1,2178639.862,1063094462,60,100,125
3,PBS,1,1148659.623,1063094462,60,100,125
4,DDigest,1,1514666.448,3612915116,60,100,128
4,PinSketch,1,2389861.867,3612915116,60,100,128
4,PBS,1,1147564.448,3612915116,60,100,128
5,DDigest,1,1480834.09,1061150237,60,100,161
5,PinSketch,1,2478094.279,1061150237,60,100,161
5,PBS,1,1140142.233,1061150237,60,100,161
6,DDigest,1,1636588.897,1655777442,60,100,102
6,PinSketch,1,1992938.962,1655777442,60,100,102
6,PBS,1,1154982.896,1655777442,60,100,102
7,DDigest,1,1501550.941,3537882741,60,100,159
7,PinSketch,1,2482403.677,3537882741,60,100,159
7,PBS,1,1160034.41,3537882741,60,100,159
8,DDigest,1,1478939.702,3887478591,60,100,125
8,PinSketch,1,2152454.645,3887478591,60,100,125
8,PBS,1,1158071.269,3887478591,60,100,125
9,DDigest,1,1499499.993,3555333526,60,100,121
9,PinSketch,1,2107040.371,3555333526,60,100,121
9,PBS,1,1144225.767,3555333526,60,100,121
10,DDigest,1,1691132.286,2346006061,60,100,163
10,PinSketch,1,2613887.475,2346006061,60,100,163
10,PBS,1,1135271.632,2346006061,60,100,163
11,DDigest,1,1488203.368,3004538427,60,100,126
11,PinSketch,1,2137280.053,3004538427,60,100,126
11,PBS,1,1149678.506,3004538427,60,100,126
12,DDigest,1,1486990.22,193896213,60,100,157
12,PinSketch,1,2401836.095,193896213,60,100,157
12,PBS,1,1143285.055,193896213,60,100,157
13,DDigest,1,1482409.505,4056500539,60,100,154
13,PinSketch,1,2432514.404,4056500539,60,100,154
13,PBS,1,1138863.023,4056500539,60,100,154
14,DDigest,1,1546692.117,2137641007,60,100,115
14,PinSketch,1,2150333.548,2137641007,60,100,115
14,PBS,1,1141420.18,2137641007,60,100,115
15,DDigest,1,1546112.685,1599519745,60,100,135
15,PinSketch,1,2219764.371,1599519745,60,100,135
15,PBS,1,1178847.381,1599519745,60,100,135
16,DDigest,1,1482020.557,1887119040,60,100,141
16,PinSketch,1,2472766.949,1887119040,60,100,141
16,PBS,1,1143911.223,1887119040,60,100,141
17,DDigest,1,1493561.444,160760229,60,100,120
17,PinSketch,1,2148582.072,160760229,60,100,120
17,PBS,1,1151438.327,160760229,60,100,120
18,DDigest,1,1604897.758,313067961,60,100,144
18,PinSketch,1,2431639.213,313067961,60,100,144
18,PBS,1,1239586.512,313067961,60,100,144
19,DDigest,1,1479221.7,826920367,60,100,118
19,PinSketch,1,2049286.619,826920367,60,100,118
19,PBS,1,1125218.617,826920367,60,100,118
